Participant	Identifier	Condition	Chain	Generation	Trial	SequenceTrace	SequencePosition	TargetCharacter	ProducedCharacter	T.x	T.y	P.x	P.y	CharRT	CharError	TargetArea	ProductionArea
EXPERIMENTER	easy_GEN_0_Q	easy	Q	1	-	0	1	Ê	Ê	173.43065693430657	325.83941605839414	173.43065693430657	325.83941605839414	-	0	7442.570895006174	7442.570895006174
EXPERIMENTER	easy_GEN_0_Q	easy	Q	1	-	0	2	F	F	110.36496350364963	189.19708029197082	110.36496350364963	189.19708029197082	-	0	1462.441927158945	1462.441927158945
EXPERIMENTER	easy_GEN_0_Q	easy	Q	1	-	0	3	>	>	331.0948905109489	352.1167883211679	331.0948905109489	352.1167883211679	-	0	1625.3221864028892	1625.3221864028892
EXPERIMENTER	easy_GEN_0_Q	easy	Q	1	-	1	1	S	S	68.32116788321167	157.66423357664235	68.32116788321167	157.66423357664235	-	0	6457.818643734893	6457.818643734893
EXPERIMENTER	easy_GEN_0_Q	easy	Q	1	-	1	2	v	v	323.2116788321168	291.6788321167883	323.2116788321168	291.6788321167883	-	0	1841.056381108021	1841.056381108021
EXPERIMENTER	easy_GEN_0_Q	easy	Q	1	-	1	3	T	T	152.4087591240876	265.4014598540146	152.4087591240876	265.4014598540146	-	0	3763.3974019325033	3763.3974019325033
EXPERIMENTER	easy_GEN_0_Q	easy	Q	1	-	2	1	9	9	162.91970802919707	283.79562043795625	162.91970802919707	283.79562043795625	-	0	2188.315431957333	2188.315431957333
EXPERIMENTER	easy_GEN_0_Q	easy	Q	1	-	2	2	k	k	294.3065693430657	176.05839416058396	294.3065693430657	176.05839416058396	-	0	1551.9506220520198	1551.9506220520198
EXPERIMENTER	easy_GEN_0_Q	easy	Q	1	-	2	3	.	.	115.62043795620438	223.35766423357666	115.62043795620438	223.35766423357666	-	0	10838.732100053028	10838.732100053028
EXPERIMENTER	easy_GEN_0_Q	easy	Q	1	-	3	1	4	4	204.96350364963502	63.065693430656935	204.96350364963502	63.065693430656935	-	0	9982.910451859594	9982.910451859594
EXPERIMENTER	easy_GEN_0_Q	easy	Q	1	-	3	2	ì	ì	42.043795620437955	110.36496350364963	42.043795620437955	110.36496350364963	-	0	3261.283203247344	3261.283203247344
EXPERIMENTER	easy_GEN_0_Q	easy	Q	1	-	3	3	c	c	228.61313868613138	120.87591240875912	228.61313868613138	120.87591240875912	-	0	2152.8501229006333	2152.8501229006333
EXPERIMENTER	easy_GEN_0_Q	easy	Q	1	-	4	1	â	â	126.13138686131387	68.32116788321167	126.13138686131387	68.32116788321167	-	0	3378.0008691937137	3378.0008691937137
EXPERIMENTER	easy_GEN_0_Q	easy	Q	1	-	4	2	-	-	199.7080291970803	220.72992700729927	199.7080291970803	220.72992700729927	-	0	1332.4525734768504	1332.4525734768504
EXPERIMENTER	easy_GEN_0_Q	easy	Q	1	-	4	3	3	3	346.86131386861314	89.34306569343066	346.86131386861314	89.34306569343066	-	0	10574.274574446246	10574.274574446246
EXPERIMENTER	easy_GEN_0_Q	easy	Q	1	-	5	1	ã	ã	78.83211678832117	18.394160583941606	78.83211678832117	18.394160583941606	-	0	2167.2126952168687	2167.2126952168687
EXPERIMENTER	easy_GEN_0_Q	easy	Q	1	-	5	2	z	z	344.2335766423358	165.54744525547446	344.2335766423358	165.54744525547446	-	0	2723.978246658815	2723.978246658815
EXPERIMENTER	easy_GEN_0_Q	easy	Q	1	-	5	3	2	2	257.51824817518246	136.64233576642334	257.51824817518246	136.64233576642334	-	0	3292.213893585469	3292.213893585469
EXPERIMENTER	easy_GEN_0_Q	easy	Q	1	-	6	1	F	F	110.36496350364963	189.19708029197082	110.36496350364963	189.19708029197082	-	0	1462.441927158945	1462.441927158945
EXPERIMENTER	easy_GEN_0_Q	easy	Q	1	-	6	2	T	T	152.4087591240876	265.4014598540146	152.4087591240876	265.4014598540146	-	0	3763.3974019325033	3763.3974019325033
